title de-DE;title en-EN;title es-ES;title fr-FR;title it-IT;title pl-PL;title pt-BR;title ru-RU;title zh-Hans;title zh-Hant;text de-DE;text en-EN;text es-ES;text fr-FR;text it-IT;text pl-PL;text pt-BR;text ru-RU;text zh-Hans;text zh-Hant;id;set;type;attack;rarity;defense;faction;kredits;blitz;mobilize;smokescreen;fury;pincer;alpine;guard;ambush;intel3;heavyArmor1;intel2;heavyArmor2;image de-DE;image en-EN;image es-ES;image fr-FR;image it-IT;image pl-PL;image pt-BR;image ru-RU;image zh-Hans;image zh-Hant
ADLERKLAUEN;EAGLE CLAWS;GARRAS DE ÁGUILA;SERRES D’AIGLE;ARTIGLI DELL’AQUILA;SZPONY ORŁA;GARRAS DE ÁGUIA;ОРЛИНАЯ ХВАТКА;鹰爪;鷹爪;Fügt allen Einheiten in der gegnerischen Nachschublinie 2 Schaden zu.;Deal 2 damage to all units in the enemy support line.;Inflige 2 de daño a todas las unidades de la línea de apoyo del enemigo.;Inflige 2 dégâts à toutes les unités de la ligne de soutien ennemie.;Infliggi 2 danni a tutte le unità nella linea di supporto nemica.;Zadaj 2 pkt obrażeń wszystkim jednostkom na linii wsparcia przeciwnika.;Cause 2 de dano a todas as unidades inimigas na linha de apoio.;Наносит 2 ед. урона всем вражеским отрядам на линии поддержки.;对在支援阵线的敌方所有单位造成 2 点伤害。;對在支援陣線的敵方所有單位造成 2 點傷害。;eagle_claws;Base;order;;Standard;;Germany;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/eagle_claws.png;https://www.kards.com//images/card/v15/en-EN/eagle_claws.png;https://www.kards.com//images/card/v15/es-ES/eagle_claws.png;https://www.kards.com//images/card/v15/fr-FR/eagle_claws.png;https://www.kards.com//images/card/v15/it-IT/eagle_claws.png;https://www.kards.com//images/card/v15/pl-PL/eagle_claws.png;https://www.kards.com//images/card/v15/pt-BR/eagle_claws.png;https://www.kards.com//images/card/v15/ru-RU/eagle_claws.png;https://www.kards.com//images/card/v15/zh-Hans/eagle_claws.png;https://www.kards.com//images/card/v15/zh-Hant/eagle_claws.png
OSTFRONTGRENZE;EASTERN FRONT BOUND;RUMBO AL FRENTE ORIENTAL;VERS LE FRONT DE L’EST;IL FRONTE ORIENTALE;NA FRONT WSCHODNI;FRENTE ORIENTAL CONSOLIDADA;НА ВОСТОЧНЫЙ ФРОНТ;东线边界;東線邊界;Gib deinen Einheiten mit Alpin +1+1. Ziehe eine Einheit mit Alpin aus deinem Deck.;Give your Alpine units +1+1. Draw an Alpine unit from your deck.;Otorga un +1+1 a tus unidades alpinas. Roba una unidad alpina del mazo.;Confère +1+1 à vos unités alpines. Piochez une unité alpine de votre deck.;Dai +1+1 alle tue unità Alpine. Pesca un'unità Alpina dal tuo mazzo.;Zapewnij swoim jednostkom alpejskim +1+1. Dobierz jednostkę alpejską ze swojej talii.;Dê às suas unidades alpinas +1+1. Compre uma unidade alpina do seu baralho.;Ваши альпийские отряды получают +1 +1. Возьмите альпийский отряд из колоды.;你的所有山地获得 +1+1，从你的卡组中抽一张山地牌。;你的所有山地獲得 +1+1，從你的卡組中抽一張山地牌。;eastern_front_bound;Allegiance;order;;Limited;;Italy;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/eastern_front_bound.png;https://www.kards.com//images/card/v15/en-EN/eastern_front_bound.png;https://www.kards.com//images/card/v15/es-ES/eastern_front_bound.png;https://www.kards.com//images/card/v15/fr-FR/eastern_front_bound.png;https://www.kards.com//images/card/v15/it-IT/eastern_front_bound.png;https://www.kards.com//images/card/v15/pl-PL/eastern_front_bound.png;https://www.kards.com//images/card/v15/pt-BR/eastern_front_bound.png;https://www.kards.com//images/card/v15/ru-RU/eastern_front_bound.png;https://www.kards.com//images/card/v15/zh-Hans/eastern_front_bound.png;https://www.kards.com//images/card/v15/zh-Hant/eastern_front_bound.png
EAST SURREY REGIMENT;EAST SURREY REGIMENT;REGIMIENTO DEL ESTE DE SURREY;RÉGIMENT DE L’EAST SURREY;REG. EAST SURREY;PUŁK EAST SURREY;REGIMENTO DE EAST SURREY;ВОСТОЧНО-СУРРЕЙСКИЙ ПОЛК;东萨里团;東薩里團;;;;;;;;;;;east_surrey_regiment;TheatersOfWar;infantry;2;Standard;6;Britain;3;;;;;;;1;;;;;;https://www.kards.com//images/card/v15/de-DE/east_surrey_regiment.png;https://www.kards.com//images/card/v15/en-EN/east_surrey_regiment.png;https://www.kards.com//images/card/v15/es-ES/east_surrey_regiment.png;https://www.kards.com//images/card/v15/fr-FR/east_surrey_regiment.png;https://www.kards.com//images/card/v15/it-IT/east_surrey_regiment.png;https://www.kards.com//images/card/v15/pl-PL/east_surrey_regiment.png;https://www.kards.com//images/card/v15/pt-BR/east_surrey_regiment.png;https://www.kards.com//images/card/v15/ru-RU/east_surrey_regiment.png;https://www.kards.com//images/card/v15/zh-Hans/east_surrey_regiment.png;https://www.kards.com//images/card/v15/zh-Hant/east_surrey_regiment.png
EINKREISUNG;ENCIRCLEMENT;EMBOLSAMIENTO;ENCERCLEMENT;AGGIRAMENTO;OKRĄŻENIE;CERCO;ОКРУЖЕНИЕ;包围;包圍;Dupliziert eine verbündete Einheit an der Front mit Kosten von 3 oder weniger und gibt ihr Blitz.;Duplicate a friendly unit in the frontline with cost of 3 or less and give it a Blitz.;Duplica una unidad aliada en el frente cuyo costo sea 3 o inferior y le otorga Blitz.;Duplique une unité alliée en première ligne avec un coût de 3 ou moins et lui confère Blitz.;Duplica un'unità alleata in prima linea con un costo pari a 3 o inferiore e dagli Blitz.;Skopiuj sojuszniczą jednostkę na linii frontu kosztującą maksymalnie 3 kredyty i zapewnij jej Impet.;Duplique uma unidade aliada na linha de frente com custo 3 ou menor e dê uma blitz a ela.;Добавляет копию дружественного отряда на линии фронта стоимостью 3 кредита или меньше и дает ему эффект Блиц;复制一个在前线且花费为 3 点或以下的友方单位，且使其获得闪击。;複製一個在前線且花費為 3 點或以下的友方單位，且使其獲得閃擊。;encirclement;Base;order;;Special;;Germany;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/encirclement.png;https://www.kards.com//images/card/v15/en-EN/encirclement.png;https://www.kards.com//images/card/v15/es-ES/encirclement.png;https://www.kards.com//images/card/v15/fr-FR/encirclement.png;https://www.kards.com//images/card/v15/it-IT/encirclement.png;https://www.kards.com//images/card/v15/pl-PL/encirclement.png;https://www.kards.com//images/card/v15/pt-BR/encirclement.png;https://www.kards.com//images/card/v15/ru-RU/encirclement.png;https://www.kards.com//images/card/v15/zh-Hans/encirclement.png;https://www.kards.com//images/card/v15/zh-Hant/encirclement.png
UMHÜLLEN;ENVELOP;ENVOLVER;Enveloppement;ACCERCHIAMENTO;OTOCZENIE;ENVOLVER;ОХВАТ;合围;合圍;Wenn sich eine Einheit in die Frontlinie bewegt, zerstöre alle Einheiten dort.;When a unit moves into the frontline, destroy all units there.;Cuando una unidad se mueve al frente, destruye todas las unidades allí.;Lorsqu'une unité rejoint la première ligne, détruisez toutes les unités qui s'y trouvent.;Quando un'unità si muove in prima linea, distruggi tutte le unità presenti lì.;Gdy jednostka przeciwnika przemieści się na linię frontu, zniszcz wszystkie znajdujące się tam jednostki.;Quando uma unidade se move para a linha de frente, destrua todas as unidades lá.;Когда отряд выходит на линию фронта, уничтожьте все отряды на ней.;一个单位进入前线时，消灭该阵线的所有单位。;一個單位進入前線時，消滅該陣線的所有單位。;envelop;Legions;countermeasure;;Elite;;Germany;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/envelop.png;https://www.kards.com//images/card/v15/en-EN/envelop.png;https://www.kards.com//images/card/v15/es-ES/envelop.png;https://www.kards.com//images/card/v15/fr-FR/envelop.png;https://www.kards.com//images/card/v15/it-IT/envelop.png;https://www.kards.com//images/card/v15/pl-PL/envelop.png;https://www.kards.com//images/card/v15/pt-BR/envelop.png;https://www.kards.com//images/card/v15/ru-RU/envelop.png;https://www.kards.com//images/card/v15/zh-Hans/envelop.png;https://www.kards.com//images/card/v15/zh-Hant/envelop.png
F4F-4 WILDCAT;F4F-4 WILDCAT;F4F-4 WILDCAT;F4F-4 WILDCAT;F4F-4 WILDCAT;F4F-4 WILDCAT;F4F-4 WILDCAT;F4F-4 WILDCAT;F4F-4 野猫;F4F-4 野貓;Dein HQ hat Vernebelung, wenn F4F WILDCAT auf dem Schlachtfeld ist.;Your HQ has Smokescreen while F4F WILDCAT is on the battlefield.;Tu cuartel general tiene Cortina de humo mientras el F4F WILDCAT esté en el campo de batalla.;Votre QG a Écran de fumée tant que le F4F WILDCAT est sur le champ de bataille.;Finché questa unità è in campo, il tuo QG ha Cortina Fumogena.;Gdy F4F WILDCAT jest na polu bitwy, Twój sztab zyskuje Zasłonę dymną.;Seu QG tem cortina de fumaça enquanto o F4F WILDCAT está no campo de batalha.;Пока этот отряд на поле боя, ваш штаб получает эффект Дымовая завеса.;此单位在战场上时，你的总部具有烟幕。;此單位在戰場上時，你的總部具有煙幕。;f4f4_wildcat;Base;fighter;3;Standard;3;USA;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/f4f4_wildcat.png;https://www.kards.com//images/card/v15/en-EN/f4f4_wildcat.png;https://www.kards.com//images/card/v15/es-ES/f4f4_wildcat.png;https://www.kards.com//images/card/v15/fr-FR/f4f4_wildcat.png;https://www.kards.com//images/card/v15/it-IT/f4f4_wildcat.png;https://www.kards.com//images/card/v15/pl-PL/f4f4_wildcat.png;https://www.kards.com//images/card/v15/pt-BR/f4f4_wildcat.png;https://www.kards.com//images/card/v15/ru-RU/f4f4_wildcat.png;https://www.kards.com//images/card/v15/zh-Hans/f4f4_wildcat.png;https://www.kards.com//images/card/v15/zh-Hant/f4f4_wildcat.png
FLAMMPANZER;FLAMMPANZER;FLAMMPANZER;FLAMMPANZER;FLAMMPANZER;FLAMMPANZER;FLAMMPANZER;FLAMMPANZER;喷火坦克;噴火坦克;Einsatz: Zerstört gewählte feindliche Einheit mit Kosten von 1 oder weniger.;Deployment: Destroy target enemy unit with cost 1 or less.;Despliegue: Destruye la unidad enemiga seleccionada con 1 de costo o menos.;Déploiement : Détruit l'unité ennemie ciblée au coût maximum de 1 Krédit.;Schieramento: distruggi un'unità nemica con un costo pari a 1 o inferiore.;Rozmieszczenie: zniszcz wybraną jednostkę wroga kosztującą maksymalnie 1 kredyt.;Posicionamento: destrua a unidade inimiga alvo com 1 ou menos de custo.;Размещение: Уничтожает вражеский отряд стоимостью 1 или меньше.;部署：消灭一个花费为 1 或更低的敌方单位。;部署：消滅一個花費為 1 或更低的敵方單位。;flammpanzer;Allegiance;tank;3;Limited;3;Germany;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/flammpanzer.png;https://www.kards.com//images/card/v15/en-EN/flammpanzer.png;https://www.kards.com//images/card/v15/es-ES/flammpanzer.png;https://www.kards.com//images/card/v15/fr-FR/flammpanzer.png;https://www.kards.com//images/card/v15/it-IT/flammpanzer.png;https://www.kards.com//images/card/v15/pl-PL/flammpanzer.png;https://www.kards.com//images/card/v15/pt-BR/flammpanzer.png;https://www.kards.com//images/card/v15/ru-RU/flammpanzer.png;https://www.kards.com//images/card/v15/zh-Hans/flammpanzer.png;https://www.kards.com//images/card/v15/zh-Hant/flammpanzer.png
FÜR DEN RUHM;FOR GLORY;POR LA GLORIA;POUR LA GLOIRE;PER LA GLORIA;DLA CHWAŁY;PELA GLÓRIA;РАДИ СЛАВЫ;为了荣耀;為了榮耀;Zerstört gewählte Elite-Einheit.;Destroy target elite unit.;Destruye una unidad de élite objetivo.;Détruit l'unité Elite ciblée.;Distruggi un'unita d'élite.;Zniszcz wybraną jednostkę elitarną.;Destrua a unidade de elite alvo.;Уничтожает выбранный элитный отряд.;消灭一个精英单位。;消滅一個精英單位。;for_glory;Allegiance;order;;Limited;;Japan;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/for_glory.png;https://www.kards.com//images/card/v15/en-EN/for_glory.png;https://www.kards.com//images/card/v15/es-ES/for_glory.png;https://www.kards.com//images/card/v15/fr-FR/for_glory.png;https://www.kards.com//images/card/v15/it-IT/for_glory.png;https://www.kards.com//images/card/v15/pl-PL/for_glory.png;https://www.kards.com//images/card/v15/pt-BR/for_glory.png;https://www.kards.com//images/card/v15/ru-RU/for_glory.png;https://www.kards.com//images/card/v15/zh-Hans/for_glory.png;https://www.kards.com//images/card/v15/zh-Hant/for_glory.png
BEFESTIGUNG;FORTIFICATION;FORTIFICACIÓN;FORTIFICATION;FORTIFICAZIONE;UMOCNIENIE;FORTIFICAÇÃO;ФОРТИФИКАЦИЯ;防御工事;防禦工事;Gibt deinem HQ +7 Verteidigung.;Give your HQ +7 defense.;Otorga +7 de defensa a tu cuartel general.;Confère +7 de défense à votre QG.;Dai +7 difesa al tuo QG.;Zapewnij swojemu sztabowi +7 do obrony.;Dê +7 de defesa ao seu QG.;Ваш штаб получает +7 к защите.;你的总部获得 +7 防御力。;你的總部獲得 +7 防禦力。;fortification;Base;order;;Standard;;Britain;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/fortification.png;https://www.kards.com//images/card/v15/en-EN/fortification.png;https://www.kards.com//images/card/v15/es-ES/fortification.png;https://www.kards.com//images/card/v15/fr-FR/fortification.png;https://www.kards.com//images/card/v15/it-IT/fortification.png;https://www.kards.com//images/card/v15/pl-PL/fortification.png;https://www.kards.com//images/card/v15/pt-BR/fortification.png;https://www.kards.com//images/card/v15/ru-RU/fortification.png;https://www.kards.com//images/card/v15/zh-Hans/fortification.png;https://www.kards.com//images/card/v15/zh-Hant/fortification.png
CANON DE 75;FRENCH 75;CAÑÓN DE 75 MM;CANON DE 75 mm;FRANCESE 75;Armata polowa FRENCH 75;CANHÃO DE MODELO 1897 DE 75 mm;FRENCH 75;75毫米野战炮;75毫米野戰炮;Kann nur Feinde in der nächsten Front angreifen, solange sie Mobilisiert ist.;Can only attack enemies in next front while Mobilized.;Solo puede atacar a enemigos del siguiente frente cuando Movilizar está activo.;Peut uniquement attaquer les ennemis sur le front suivant lorsqu’il est Mobilisé.;Può attaccare solo nemici nel fronte successivo mentre è Mobilitata.;Posiadając Mobilizację, może atakować jedynie przeciwników na kolejnym froncie.;Só pode atacar os inimigos na próxima frente quando está mobilizado.;Может атаковать только соседний фронт пока Мобилизован.;具有动员时，只能攻击下一阵线的敌方目标。;具有動員時，只能攻擊下一陣線的敵方目標。;french_75;Allegiance;artillery;1;Standard;1;France;3;;1;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/french_75.png;https://www.kards.com//images/card/v15/en-EN/french_75.png;https://www.kards.com//images/card/v15/es-ES/french_75.png;https://www.kards.com//images/card/v15/fr-FR/french_75.png;https://www.kards.com//images/card/v15/it-IT/french_75.png;https://www.kards.com//images/card/v15/pl-PL/french_75.png;https://www.kards.com//images/card/v15/pt-BR/french_75.png;https://www.kards.com//images/card/v15/ru-RU/french_75.png;https://www.kards.com//images/card/v15/zh-Hans/french_75.png;https://www.kards.com//images/card/v15/zh-Hant/french_75.png
VOLKSEINSATZ;FROM THE PEOPLE;DEL PUEBLO;PAR LE PEUPLE;DAL POPOLO;WYSIŁEK LUDU;DO POVO;ВСЁ ДЛЯ ФРОНТА;来自人民;來自人民;Fügt einer Einheit 3 Schaden zu.;Deal 3 damage to a unit.;Inflige 3 de daño a una unidad.;Inflige 3 dégâts à une unité.;Infliggi 3 danni a un’unità.;Zadaj jednostce 3 pkt obrażeń.;Cause 3 de dano a uma unidade.;Наносит 3 ед. урона отряду.;对一个单位造成 3 点伤害。;對一個單位造成 3 點傷害。;from_the_people;Base;order;;Standard;;Soviet;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/from_the_people.png;https://www.kards.com//images/card/v15/en-EN/from_the_people.png;https://www.kards.com//images/card/v15/es-ES/from_the_people.png;https://www.kards.com//images/card/v15/fr-FR/from_the_people.png;https://www.kards.com//images/card/v15/it-IT/from_the_people.png;https://www.kards.com//images/card/v15/pl-PL/from_the_people.png;https://www.kards.com//images/card/v15/pt-BR/from_the_people.png;https://www.kards.com//images/card/v15/ru-RU/from_the_people.png;https://www.kards.com//images/card/v15/zh-Hans/from_the_people.png;https://www.kards.com//images/card/v15/zh-Hant/from_the_people.png
FW 200 CONDOR;FW 200 CONDOR;FW 200 CÓNDOR;FW 200 CONDOR;FW 200 CONDOR;FW 200 CONDOR;FW 200 CONDOR;FW 200 CONDOR;Fw 200 秃鹰;Fw 200 禿鷹;Einsatz: Kann in diesem Zug nicht das feindliche HQ angreifen.;Deployment: Cannot attack the enemy HQ this turn.;Despliegue: No puede atacar el cuartel general del enemigo durante este turno.;Déploiement : Ne peut pas attaquer le QG ennemi pendant ce tour.;Schieramento: non può attaccare il QG nemico in questo turno.;Rozmieszczenie: w tej turze nie można zaatakować wrogiego sztabu.;Posicionamento: não é possível atacar o QG inimigo neste turno.;Размещение: не может атаковать вражеский штаб на этом ходу.;部署：在本回合中，无法攻击敌方总部。;部署：在本回合中，無法攻擊敵方總部。;fw_200_condor;Breakthrough;bomber;3;Special;3;Germany;3;1;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/fw_200_condor.png;https://www.kards.com//images/card/v15/en-EN/fw_200_condor.png;https://www.kards.com//images/card/v15/es-ES/fw_200_condor.png;https://www.kards.com//images/card/v15/fr-FR/fw_200_condor.png;https://www.kards.com//images/card/v15/it-IT/fw_200_condor.png;https://www.kards.com//images/card/v15/pl-PL/fw_200_condor.png;https://www.kards.com//images/card/v15/pt-BR/fw_200_condor.png;https://www.kards.com//images/card/v15/ru-RU/fw_200_condor.png;https://www.kards.com//images/card/v15/zh-Hans/fw_200_condor.png;https://www.kards.com//images/card/v15/zh-Hant/fw_200_condor.png
H75-C1;H75-C1;H75-C1;H75-C1;H75-C1;H75-C1;H75-C1;H75-C1;柯蒂斯 H75-C1;柯蒂斯 H75-C1;Einsatz: Gib einer verbündeten Einheiten Mobilisieren.;Deployment: Give a friendly unit Mobilize.;Despliegue: Otorga Movilizar a una unidad aliada.;Déploiement : Confère Mobiliser à une unité alliée.;Schieramento: dai Mobilitazione a un’unità alleata.;Rozmieszczenie: zapewnij sojuszniczej jednostce Mobilizację.;Posicionamento: dê mobilizar a uma unidade aliada.;Размещение: дружественный отряд получает эффект Мобилизация.;部署：使一个友军单位获得动员。;部署：使一個友軍單位獲得動員。;h75c1;Allegiance;fighter;2;Limited;3;France;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/h75c1.png;https://www.kards.com//images/card/v15/en-EN/h75c1.png;https://www.kards.com//images/card/v15/es-ES/h75c1.png;https://www.kards.com//images/card/v15/fr-FR/h75c1.png;https://www.kards.com//images/card/v15/it-IT/h75c1.png;https://www.kards.com//images/card/v15/pl-PL/h75c1.png;https://www.kards.com//images/card/v15/pt-BR/h75c1.png;https://www.kards.com//images/card/v15/ru-RU/h75c1.png;https://www.kards.com//images/card/v15/zh-Hans/h75c1.png;https://www.kards.com//images/card/v15/zh-Hant/h75c1.png
HMS ILLUSTRIOUS;HMS ILLUSTRIOUS;HMS ILLUSTRIOUS;HMS ILLUSTRIOUS;HMS ILLUSTRIOUS;HMS ILLUSTRIOUS;HMS ILLUSTRIOUS;АВИАНОСЕЦ «ИЛЛАСТРИЕС»;皇家海军光辉号;皇家海軍光輝號;Füge der Nachschublinie zwei SWORDFISH-Bomber mit Blitz hinzu.;Add two SWORDFISH bombers with Blitz to the support line.;Añade dos bombarderos SWORDFISH con Blitz a la línea de apoyo.;Ajoute deux bombardiers SWORDFISH avec Blitz à la ligne de soutien.;Aggiungi due bombardieri SWORDFISH con Blitz alla linea di supporto.;Dodaj do linii wsparcia dwa bombowce SWORDFISH posiadające Impet.;Adicione dois torpedeiros SWORDFISH com blitz na linha de apoio.;Добавляет на линию поддержки два бомбардировщика «СУОРДФИШ» с эффектом Блиц.;将两张具有闪击的“剑鱼”增加至支援阵线。;將兩張具有閃擊的“劍魚”增加至支援陣線。;hms_illustrious;Base;order;;Elite;;Britain;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/hms_illustrious.png;https://www.kards.com//images/card/v15/en-EN/hms_illustrious.png;https://www.kards.com//images/card/v15/es-ES/hms_illustrious.png;https://www.kards.com//images/card/v15/fr-FR/hms_illustrious.png;https://www.kards.com//images/card/v15/it-IT/hms_illustrious.png;https://www.kards.com//images/card/v15/pl-PL/hms_illustrious.png;https://www.kards.com//images/card/v15/pt-BR/hms_illustrious.png;https://www.kards.com//images/card/v15/ru-RU/hms_illustrious.png;https://www.kards.com//images/card/v15/zh-Hans/hms_illustrious.png;https://www.kards.com//images/card/v15/zh-Hant/hms_illustrious.png
EHRE;HONOR;HONOR;HONNEUR;ONORE;HONOR;HONRA;ЧЕСТЬ;玉碎;玉碎;Gibt einer verbündeten Einheit +4+4. Sie wird am Ende deines Zugs zerstört.;Give a friendly unit +4+4. At the end of your turn, destroy it.;Le otorga a una unidad aliada +4+4. Se destruye al final de tu turno.;Confère +4+4 à une unité alliée. Détruisez-la à la fin de votre tour.;Dai +4+4 a un'unità alleata. Alla fine del tuo turno, distruggila.;Zapewnij sojuszniczej jednostce +4+4. Zniszcz ją na koniec tury.;Dê +4+4 a uma unidade aliada. Destrua-a no final do seu turno.;Дружественный отряд получает +4 +4 и уничтожается в конце хода.;使一个友方单位获得 +4+4。在你的回合结束时，将其消灭。;使一個友方單位獲得 +4+4。在你的回合結束時，將其消滅。;honor;Base;order;;Standard;;Japan;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/honor.png;https://www.kards.com//images/card/v15/en-EN/honor.png;https://www.kards.com//images/card/v15/es-ES/honor.png;https://www.kards.com//images/card/v15/fr-FR/honor.png;https://www.kards.com//images/card/v15/it-IT/honor.png;https://www.kards.com//images/card/v15/pl-PL/honor.png;https://www.kards.com//images/card/v15/pt-BR/honor.png;https://www.kards.com//images/card/v15/ru-RU/honor.png;https://www.kards.com//images/card/v15/zh-Hans/honor.png;https://www.kards.com//images/card/v15/zh-Hant/honor.png
HURRICANE Mk I;HURRICANE Mk I;HURRICANE Mk I;HURRICANE Mk I;HURRICANE Mk I;HURRICANE Mk I;HURRICANE Mk I;HURRICANE Mk I;飓风 Mk I;颶風 Mk I;;;;;;;;;;;hurricane_mk_i;Base;fighter;3;Standard;2;Britain;3;1;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/hurricane_mk_i.png;https://www.kards.com//images/card/v15/en-EN/hurricane_mk_i.png;https://www.kards.com//images/card/v15/es-ES/hurricane_mk_i.png;https://www.kards.com//images/card/v15/fr-FR/hurricane_mk_i.png;https://www.kards.com//images/card/v15/it-IT/hurricane_mk_i.png;https://www.kards.com//images/card/v15/pl-PL/hurricane_mk_i.png;https://www.kards.com//images/card/v15/pt-BR/hurricane_mk_i.png;https://www.kards.com//images/card/v15/ru-RU/hurricane_mk_i.png;https://www.kards.com//images/card/v15/zh-Hans/hurricane_mk_i.png;https://www.kards.com//images/card/v15/zh-Hant/hurricane_mk_i.png
HURRICANE Mk IIA;HURRICANE Mk IIA;HURRICANE Mk IIA;HURRICANE Mk IIA;HURRICANE Mk IIA;HURRICANE Mk IIA;HURRICANE Mk IIA;HURRICANE Mk IIA;飓风 Mk IIA;颶風 Mk IIA;;;;;;;;;;;hurricane_mk_iia;Base;fighter;3;Limited;3;Britain;3;;;;1;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/en-EN/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/es-ES/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/fr-FR/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/it-IT/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/pl-PL/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/pt-BR/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/ru-RU/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/zh-Hans/hurricane_mk_iia.png;https://www.kards.com//images/card/v15/zh-Hant/hurricane_mk_iia.png
HURRICANE PL;HURRICANE PL;HURRICANE PL;HURRICANE PL;HURRICANE PL;HURRICANE PL;HURRICANE PL;HURRICANE PL;飓风 PL;颶風 PL;Einsatz: Gib einer anderen Einheit mit Exil +1+1.;Deployment: Give another unit with Exile +1+1.;Despliegue: Otorga +1+1 a otra unidad con Exilio.;Déploiement : Confère +1+1 à une autre unité avec Exil.;Schieramento: dai +1+1 a un'altra unità con Esilio.;Rozmieszczenie: Zapewnij innej jednostce z Uchodźstwem +1+1.;Implantação: Dê outra unidade com Exílio +1 +1.;Размещение: даёт другому отряду с Изгнанием +1+1.;部署：使另一个流亡单位获得 +1+1。;部署：使另一個流亡單位獲得 +1+1。;hurricane_pl;Legions;fighter;3;Standard;3;Poland;3;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/hurricane_pl.png;https://www.kards.com//images/card/v15/en-EN/hurricane_pl.png;https://www.kards.com//images/card/v15/es-ES/hurricane_pl.png;https://www.kards.com//images/card/v15/fr-FR/hurricane_pl.png;https://www.kards.com//images/card/v15/it-IT/hurricane_pl.png;https://www.kards.com//images/card/v15/pl-PL/hurricane_pl.png;https://www.kards.com//images/card/v15/pt-BR/hurricane_pl.png;https://www.kards.com//images/card/v15/ru-RU/hurricane_pl.png;https://www.kards.com//images/card/v15/zh-Hans/hurricane_pl.png;https://www.kards.com//images/card/v15/zh-Hant/hurricane_pl.png
IRISH GUARDS;IRISH GUARDS;GUARDIAS IRLANDESES;IRISH GUARDS;IRISH GUARDS;GWARDIA IRLANDZKA;GUARDAS IRLANDESES;ИРЛАНДСКАЯ ГВАРДИЯ;爱尔兰近卫团;愛爾蘭近衛團;Zangenangriff: +1 Angriff.;Pincer: +1 attack.;Pinza: +1 de ataque.;Tenaille : +1 d'attaque;Tenaglia: +1 attacco.;Kleszcze: +1 do ataku.;Pinça: +1 de ataque.;Клещи: +1 к атаке.;钳击：+1 攻击力。;鉗擊：+1 攻擊力。;irish_guards;Breakthrough;infantry;2;Standard;4;Britain;3;;;;1;1;;;;;;;;https://www.kards.com//images/card/v15/de-DE/irish_guards.png;https://www.kards.com//images/card/v15/en-EN/irish_guards.png;https://www.kards.com//images/card/v15/es-ES/irish_guards.png;https://www.kards.com//images/card/v15/fr-FR/irish_guards.png;https://www.kards.com//images/card/v15/it-IT/irish_guards.png;https://www.kards.com//images/card/v15/pl-PL/irish_guards.png;https://www.kards.com//images/card/v15/pt-BR/irish_guards.png;https://www.kards.com//images/card/v15/ru-RU/irish_guards.png;https://www.kards.com//images/card/v15/zh-Hans/irish_guards.png;https://www.kards.com//images/card/v15/zh-Hant/irish_guards.png
